ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
23	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154429047	154431657	154429047	154429174	154431829	154431904	23	0,4,3	0,0,2	0,0,1	0,0,1	2582	99	1	1.0	NA,1.0,0.054	NA,NA,0.037	0.49
26	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	26	1,2,1	0,15,5	0,0,0	1,1,1	378	99	1	1.0	1.0,0.034,0.05	0.0,0.0,0.0	0.361
84	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71128853	71128597	71128718	71129113	71129215	84	0,0,0	0,1,3	2,0,0	0,0,0	234	99	1	1.0	NA,0.0,0.0	1.0,NA,NA	-1.0
93	"ENSG00000182518.14"	"FAM104B"	chrX	-	55159125	55159228	55159128	55159228	55146180	55146311	93	0,0,1	0,0,0	1,0,0	2,0,0	102	99	1	1.0	NA,NA,1.0	0.327,NA,NA	0.673
95	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543840	53543968	53543885	53543968	53542442	53542539	95	0,0,4	0,1,0	1,0,4	0,0,0	144	99	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
97	"ENSG00000126012.13"	"KDM5C"	chrX	-	53193772	53193851	53193781	53193851	53193436	53193636	97	2,0,1	0,0,2	1,0,0	4,1,0	108	99	1	1.0	1.0,NA,0.314	0.186,0.0,NA	0.564
113	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48576313	48576419	113	0,2,1	0,0,4	0,0,0	2,1,0	515	99	1	1.0	NA,1.0,0.046	0.0,0.0,NA	0.523
140	"ENSG00000165195.16"	"PIGA"	chrX	-	15331215	15331992	15331873	15331992	15325913	15326046	140	0,1,3	0,0,0	0,0,0	2,0,0	757	99	1	1.0	NA,1.0,1.0	0.0,NA,NA	1.0
142	"ENSG00000165195.16"	"PIGA"	chrX	-	15331589	15331992	15331873	15331992	15325913	15326046	142	0,0,1	0,0,0	0,0,0	2,0,0	383	99	1	1.0	NA,NA,1.0	0.0,NA,NA	1.0
176	"ENSG00000183569.18"	"SERHL2"	chr22	+	42571120	42571901	42571120	42571203	42572435	42572529	176	0,5,0	0,0,1	1,0,0	0,0,0	797	99	1	1.0	NA,1.0,0.0	1.0,NA,NA	-0.5
